priority,reason,detail,parking_id,name,day_group,access_status,checked_at,effective_to,evidence_method,evidence_ref
3,unknown,확정된 적이 없음 — 추천에 미확인 경고가 붙는다,46,범계역노상,sunday_holiday,unknown,2026-09-15,,,
3,unknown,확정된 적이 없음 — 추천에 미확인 경고가 붙는다,46,범계역노상,weekday,unknown,2026-09-15,,,
3,unknown,확정된 적이 없음 — 추천에 미확인 경고가 붙는다,47,동안노상,saturday,unknown,2026-09-15,,,
3,unknown,확정된 적이 없음 — 추천에 미확인 경고가 붙는다,47,동안노상,sunday_holiday,unknown,2026-09-15,,,
3,unknown,확정된 적이 없음 — 추천에 미확인 경고가 붙는다,47,동안노상,weekday,unknown,2026-09-15,,,
3,unknown,확정된 적이 없음 — 추천에 미확인 경고가 붙는다,55,안양3동노상,saturday,unknown,2026-09-15,,,
3,unknown,확정된 적이 없음 — 추천에 미확인 경고가 붙는다,55,안양3동노상,sunday_holiday,unknown,2026-09-15,,,
3,unknown,확정된 적이 없음 — 추천에 미확인 경고가 붙는다,55,안양3동노상,weekday,unknown,2026-09-15,,,
3,unknown,확정된 적이 없음 — 추천에 미확인 경고가 붙는다,57,호계고가밑,saturday,unknown,2026-09-15,,,
3,unknown,확정된 적이 없음 — 추천에 미확인 경고가 붙는다,57,호계고가밑,sunday_holiday,unknown,2026-09-15,,,
3,unknown,확정된 적이 없음 — 추천에 미확인 경고가 붙는다,57,호계고가밑,weekday,unknown,2026-09-15,,,
3,unknown,확정된 적이 없음 — 추천에 미확인 경고가 붙는다,61,수리산1노상,saturday,unknown,2026-09-15,,,
3,unknown,확정된 적이 없음 — 추천에 미확인 경고가 붙는다,61,수리산1노상,sunday_holiday,unknown,2026-09-15,,,
3,unknown,확정된 적이 없음 — 추천에 미확인 경고가 붙는다,61,수리산1노상,weekday,unknown,2026-09-15,,,
3,unknown,확정된 적이 없음 — 추천에 미확인 경고가 붙는다,81,"비호교1,2노외",saturday,unknown,2026-09-15,,,
3,unknown,확정된 적이 없음 — 추천에 미확인 경고가 붙는다,81,"비호교1,2노외",sunday_holiday,unknown,2026-09-15,,,
3,unknown,확정된 적이 없음 — 추천에 미확인 경고가 붙는다,81,"비호교1,2노외",weekday,unknown,2026-09-15,,,
3,unknown,확정된 적이 없음 — 추천에 미확인 경고가 붙는다,101,문예노상,saturday,unknown,2026-09-15,,,
3,unknown,확정된 적이 없음 — 추천에 미확인 경고가 붙는다,101,문예노상,sunday_holiday,unknown,2026-09-15,,,
3,unknown,확정된 적이 없음 — 추천에 미확인 경고가 붙는다,101,문예노상,weekday,unknown,2026-09-15,,,
3,unknown,확정된 적이 없음 — 추천에 미확인 경고가 붙는다,102,수리산2노상,saturday,unknown,2026-09-15,,,
3,unknown,확정된 적이 없음 — 추천에 미확인 경고가 붙는다,102,수리산2노상,sunday_holiday,unknown,2026-09-15,,,
3,unknown,확정된 적이 없음 — 추천에 미확인 경고가 붙는다,102,수리산2노상,weekday,unknown,2026-09-15,,,
3,unknown,확정된 적이 없음 — 추천에 미확인 경고가 붙는다,103,인덕원1노상,saturday,unknown,2026-09-15,,,
3,unknown,확정된 적이 없음 — 추천에 미확인 경고가 붙는다,103,인덕원1노상,sunday_holiday,unknown,2026-09-15,,,
3,unknown,확정된 적이 없음 — 추천에 미확인 경고가 붙는다,103,인덕원1노상,weekday,unknown,2026-09-15,,,
3,unknown,확정된 적이 없음 — 추천에 미확인 경고가 붙는다,104,인덕원2노상,saturday,unknown,2026-09-15,,,
3,unknown,확정된 적이 없음 — 추천에 미확인 경고가 붙는다,104,인덕원2노상,sunday_holiday,unknown,2026-09-15,,,
3,unknown,확정된 적이 없음 — 추천에 미확인 경고가 붙는다,104,인덕원2노상,weekday,unknown,2026-09-15,,,
3,unknown,확정된 적이 없음 — 추천에 미확인 경고가 붙는다,105,관양시장노상,saturday,unknown,2026-09-15,,,
3,unknown,확정된 적이 없음 — 추천에 미확인 경고가 붙는다,105,관양시장노상,sunday_holiday,unknown,2026-09-15,,,
3,unknown,확정된 적이 없음 — 추천에 미확인 경고가 붙는다,105,관양시장노상,weekday,unknown,2026-09-15,,,
3,unknown,확정된 적이 없음 — 추천에 미확인 경고가 붙는다,107,삼막사노상,saturday,unknown,2026-09-15,,,
3,unknown,확정된 적이 없음 — 추천에 미확인 경고가 붙는다,107,삼막사노상,sunday_holiday,unknown,2026-09-15,,,
3,unknown,확정된 적이 없음 — 추천에 미확인 경고가 붙는다,107,삼막사노상,weekday,unknown,2026-09-15,,,
3,unknown,확정된 적이 없음 — 추천에 미확인 경고가 붙는다,108,석수역좌우측노상,saturday,unknown,2026-09-15,,,
3,unknown,확정된 적이 없음 — 추천에 미확인 경고가 붙는다,108,석수역좌우측노상,sunday_holiday,unknown,2026-09-15,,,
3,unknown,확정된 적이 없음 — 추천에 미확인 경고가 붙는다,108,석수역좌우측노상,weekday,unknown,2026-09-15,,,
3,unknown,확정된 적이 없음 — 추천에 미확인 경고가 붙는다,109,관악3노상,saturday,unknown,2026-09-15,,,
3,unknown,확정된 적이 없음 — 추천에 미확인 경고가 붙는다,109,관악3노상,sunday_holiday,unknown,2026-09-15,,,
3,unknown,확정된 적이 없음 — 추천에 미확인 경고가 붙는다,109,관악3노상,weekday,unknown,2026-09-15,,,
3,unknown,확정된 적이 없음 — 추천에 미확인 경고가 붙는다,110,삼봉노상,saturday,unknown,2026-09-15,,,
3,unknown,확정된 적이 없음 — 추천에 미확인 경고가 붙는다,110,삼봉노상,sunday_holiday,unknown,2026-09-15,,,
3,unknown,확정된 적이 없음 — 추천에 미확인 경고가 붙는다,110,삼봉노상,weekday,unknown,2026-09-15,,,
3,unknown,확정된 적이 없음 — 추천에 미확인 경고가 붙는다,111,먹거리촌노외,saturday,unknown,2026-09-15,,,
3,unknown,확정된 적이 없음 — 추천에 미확인 경고가 붙는다,111,먹거리촌노외,sunday_holiday,unknown,2026-09-15,,,
3,unknown,확정된 적이 없음 — 추천에 미확인 경고가 붙는다,111,먹거리촌노외,weekday,unknown,2026-09-15,,,
3,unknown,확정된 적이 없음 — 추천에 미확인 경고가 붙는다,401,호원어린이공원노외,saturday,unknown,2026-09-15,,,
3,unknown,확정된 적이 없음 — 추천에 미확인 경고가 붙는다,401,호원어린이공원노외,sunday_holiday,unknown,2026-09-15,,,
3,unknown,확정된 적이 없음 — 추천에 미확인 경고가 붙는다,401,호원어린이공원노외,weekday,unknown,2026-09-15,,,
