active_seq,parking_id,name,feed_status,live_ok,predict_ok,access_rule,weekday_access_start,weekday_access_end,weekend_access_start,weekend_access_end,fee_hours_source,note,saturday_access_start,saturday_access_end,sunday_access_start,sunday_access_end,weekday_access_status,saturday_access_status,sunday_access_status,enterable_status,enterable_note
11.0,106,시청앞노상,ACTIVE,1,1,FREE_AFTER_FEE,00:00,24:00,00:00,24:00,parking.db lots.wdays_*/wend_*,"운영/요금시간 외 무료개방, 입출차 가능(사용자 조사)",,,,,,,,always,출입통제 없음
12.0,81,"비호교1,2노외",ACTIVE,1,1,FREE_AFTER_FEE,00:00,24:00,00:00,24:00,parking.db lots.wdays_*/wend_*,"운영/요금시간 외 무료개방, 입출차 가능(사용자 조사)",,,,,,,,unknown,조사표에 없음
13.0,30,샘모루초교지하,ACTIVE,1,1,FREE_AFTER_FEE,00:00,24:00,00:00,24:00,parking.db lots.wdays_*/wend_*,"운영/요금시간 외 무료개방, 입출차 가능(사용자 조사)",,,,,,,,always,출입통제 없음
14.0,401,호원어린이공원노외,ACTIVE,1,1,FREE_AFTER_FEE,00:00,24:00,00:00,24:00,parking.db lots.wdays_*/wend_*,"운영/요금시간 외 무료개방, 입출차 가능(사용자 조사)",,,,,,,,unknown,보류/미확인(조사표 명시)
15.0,37,관양동노외,ACTIVE,1,1,FREE_AFTER_FEE,00:00,24:00,00:00,24:00,parking.db lots.wdays_*/wend_*,"운영/요금시간 외 무료개방, 입출차 가능(사용자 조사)",,,,,,,,always,주말·그외 무료개방
16.0,21,해동놀이터지하,ACTIVE,1,1,FREE_AFTER_FEE,00:00,24:00,00:00,24:00,parking.db lots.wdays_*/wend_*,"운영/요금시간 외 무료개방, 입출차 가능(사용자 조사)",,,,,,,,always,출입통제 없음
17.0,39,안양7동노외,ACTIVE,1,1,FREE_AFTER_FEE,00:00,24:00,00:00,24:00,parking.db lots.wdays_*/wend_*,"운영/요금시간 외 무료개방, 입출차 가능(사용자 조사)",,,,,,,,always,출입통제 없음
18.0,183,호계시장2노외,ACTIVE,1,1,FREE_AFTER_FEE,00:00,24:00,00:00,24:00,parking.db lots.wdays_*/wend_*,"운영/요금시간 외 무료개방, 입출차 가능(사용자 조사)",,,,,,,,always,출입통제 없음
19.0,201,비산소공원지하,ACTIVE,1,1,FREE_AFTER_FEE,00:00,24:00,00:00,24:00,parking.db lots.wdays_*/wend_*,"운영/요금시간 외 무료개방, 입출차 가능(사용자 조사)",,,,,,,,always,출입통제 없음
20.0,27,인덕원동노외,ACTIVE,1,1,FREE_AFTER_FEE,00:00,24:00,00:00,24:00,parking.db lots.wdays_*/wend_*,"운영/요금시간 외 무료개방, 입출차 가능(사용자 조사)",,,,,,,,always,출입통제 없음
21.0,82,명학동노외,ACTIVE,1,1,FREE_AFTER_FEE,00:00,24:00,00:00,24:00,parking.db lots.wdays_*/wend_*,"운영/요금시간 외 무료개방, 입출차 가능(사용자 조사)",,,,,,,,always,출입통제 없음
22.0,461,안양6동3노외,ACTIVE,1,1,FREE_AFTER_FEE,00:00,24:00,00:00,24:00,parking.db lots.wdays_*/wend_*,"운영/요금시간 외 무료개방, 입출차 가능(사용자 조사)",,,,,,,,always,공식 운영시간 미표기 — label_valid 별도 확인 필요
23.0,182,호계시장1노외,ACTIVE,1,1,FREE_AFTER_FEE,00:00,24:00,00:00,24:00,parking.db lots.wdays_*/wend_*,"운영/요금시간 외 무료개방, 입출차 가능(사용자 조사)",,,,,,,,always,
24.0,40,안양6동1노외,ACTIVE,1,1,FREE_AFTER_FEE,00:00,24:00,00:00,24:00,parking.db lots.wdays_*/wend_*,"운영/요금시간 외 무료개방, 입출차 가능(사용자 조사)",,,,,,,,always,
25.0,42,느루소공원지하,ACTIVE,1,1,FREE_AFTER_FEE,00:00,24:00,00:00,24:00,parking.db lots.wdays_*/wend_*,"운영/요금시간 외 무료개방, 입출차 가능(사용자 조사)",,,,,,,,always,
26.0,521,안양6동4노외,ACTIVE,1,1,FREE_AFTER_FEE,00:00,24:00,00:00,24:00,parking.db lots.wdays_*/wend_*,"운영/요금시간 외 무료개방, 입출차 가능(사용자 조사)",,,,,,,,always,공식 운영시간 미표기
27.0,34,동편마을지하,ACTIVE,1,1,FREE_AFTER_FEE,00:00,24:00,00:00,24:00,parking.db lots.wdays_*/wend_*,"운영/요금시간 외 무료개방, 입출차 가능(사용자 조사)",,,,,,,,always,
28.0,522,안양6동5노외(일반),ACTIVE,1,1,FREE_AFTER_FEE,00:00,24:00,00:00,24:00,parking.db lots.wdays_*/wend_*,"운영/요금시간 외 무료개방, 입출차 가능(사용자 조사)",,,,,,,,always,공식 운영시간 미표기
29.0,181,덕현공원지하,ACTIVE,1,1,FREE_AFTER_FEE,00:00,24:00,00:00,24:00,parking.db lots.wdays_*/wend_*,"운영/요금시간 외 무료개방, 입출차 가능(사용자 조사)",,,,,,,,always,
30.0,29,남부노외,ACTIVE,1,1,FREE_AFTER_FEE,00:00,24:00,00:00,24:00,parking.db lots.wdays_*/wend_*,"운영/요금시간 외 무료개방, 입출차 가능(사용자 조사)",,,,,,,,always,
31.0,9,예술공원노외,ACTIVE,1,1,FREE_AFTER_FEE,00:00,24:00,00:00,24:00,parking.db lots.wdays_*/wend_*,"운영/요금시간 외 무료개방, 입출차 가능(사용자 조사)",,,,,,,,always,
32.0,14,호계3동노외,ACTIVE,1,1,SAME_AS_FEE_HOURS,10:00,18:00,00:00,00:00,parking.db lots.wdays_*/wend_*,"운영/요금시간 외 무료개방 아님, 입출차 불가(사용자 조사). 실제 접근시간은 fee hours와 동일하게 적용",,,,,open,closed,closed,fee_hours_only,확정(기존 access_rule과 일치)
33.0,11,일번가노외,ACTIVE,1,1,FREE_AFTER_FEE,00:00,24:00,00:00,24:00,parking.db lots.wdays_*/wend_*,"운영/요금시간 외 무료개방, 입출차 가능(사용자 조사)",,,,,,,,always,
34.0,17,화창초교지하,ACTIVE,1,1,FREE_AFTER_FEE,00:00,24:00,00:00,24:00,parking.db lots.wdays_*/wend_*,"운영/요금시간 외 무료개방, 입출차 가능(사용자 조사)",,,,,,,,always,
35.0,36,충훈동지하,ACTIVE,1,1,FREE_AFTER_FEE,00:00,24:00,00:00,24:00,parking.db lots.wdays_*/wend_*,"운영/요금시간 외 무료개방, 입출차 가능(사용자 조사)",,,,,,,,always,
36.0,8,안양4동노외,ACTIVE,1,1,FREE_AFTER_FEE,00:00,24:00,00:00,24:00,parking.db lots.wdays_*/wend_*,"운영/요금시간 외 무료개방, 입출차 가능(사용자 조사)",,,,,,,,always,
37.0,38,삼덕공원지하,ACTIVE,1,1,FREE_AFTER_FEE,00:00,24:00,00:00,24:00,parking.db lots.wdays_*/wend_*,"운영/요금시간 외 무료개방, 입출차 가능(사용자 조사)",,,,,,,,always,
38.0,421,박달고가밑노상(노외),ACTIVE,1,1,FREE_AFTER_FEE,00:00,24:00,00:00,24:00,parking.db lots.wdays_*/wend_*,"운영/요금시간 외 무료개방, 입출차 가능(사용자 조사)",,,,,,,,always,
39.0,28,삼덕노외,ACTIVE,1,1,FREE_AFTER_FEE,00:00,24:00,00:00,24:00,parking.db lots.wdays_*/wend_*,"운영/요금시간 외 무료개방, 입출차 가능(사용자 조사)",,,,,,,,always,
40.0,26,수목원입구노외,ACTIVE,1,1,FREE_AFTER_FEE,00:00,24:00,00:00,24:00,parking.db lots.wdays_*/wend_*,"운영/요금시간 외 무료개방, 입출차 가능(사용자 조사)",,,,,,,,always,
41.0,18,개나리놀이터지하,ACTIVE,1,1,FREE_AFTER_FEE,00:00,24:00,00:00,24:00,parking.db lots.wdays_*/wend_*,"운영/요금시간 외 무료개방, 입출차 가능(사용자 조사)",,,,,,,,always,24시간 운영
42.0,301,친목마을노외,ACTIVE,1,1,UNKNOWN,,,,,parking.db lots.wdays_*/wend_*,실제 입출차 시간 미확인,,,,,,,,unknown,24시간이지만 월정전용 — 일반 이용객 불가
43.0,22,박달시장1노상노외,ACTIVE,1,1,SAME_AS_FEE_HOURS,09:00,19:00,00:00,00:00,parking.db lots.wdays_*/wend_*,"운영/요금시간 외 무료개방 아님, 입출차 불가(사용자 조사). 실제 접근시간은 fee hours와 동일하게 적용",09:00,19:00,,,open,open,closed,fee_hours_only,"확정(기존 access_rule과 일치). 초반 'ID 5 박달시장노외' 항목과 혼동 가능, 재확인 필요"
44.0,122,호현마을2노외,ACTIVE,1,1,UNKNOWN,,,,,parking.db lots.wdays_*/wend_*,실제 입출차 시간 미확인,,,,,,,,always,24시간 운영. 재확인 권장(과거 판단 보류 이력 있음)
45.0,121,호현마을1노외,ACTIVE,1,1,FREE_AFTER_FEE,00:00,24:00,00:00,24:00,parking.db lots.wdays_*/wend_*,"운영/요금시간 외 무료개방, 입출차 가능(사용자 조사)",,,,,,,,always,
46.0,33,박달시장2노외,ACTIVE,1,1,FREE_AFTER_FEE,00:00,24:00,00:00,24:00,parking.db lots.wdays_*/wend_*,"운영/요금시간 외 무료개방, 입출차 가능(사용자 조사)",,,,,,,,always,
47.0,441,율목복지관옆공영,ACTIVE,1,1,FREE_AFTER_FEE,00:00,24:00,00:00,24:00,parking.db lots.wdays_*/wend_*,"운영/요금시간 외 무료개방, 입출차 가능(사용자 조사)",,,,,,,,always,공식 시간 매칭 애매 — label_valid 별도 확인 필요
48.0,20,병목안시민공원노외,ACTIVE,1,1,FREE_AFTER_FEE,00:00,24:00,00:00,24:00,parking.db lots.wdays_*/wend_*,"운영/요금시간 외 무료개방, 입출차 가능(사용자 조사)",,,,,,,,always,
49.0,161,관악노상1-2,ACTIVE,1,1,SAME_AS_FEE_HOURS,09:00,19:00,00:00,00:00,parking.db lots.wdays_*/wend_*,"운영/요금시간 외 무료개방 아님, 입출차 불가(사용자 조사). 실제 접근시간은 fee hours와 동일하게 적용",,,,,open,closed,closed,always,
50.0,241,먹거리촌노상1,ACTIVE,1,1,SAME_AS_FEE_HOURS,10:00,21:00,00:00,00:00,parking.db lots.wdays_*/wend_*,"운영/요금시간 외 무료개방 아님, 입출차 불가(사용자 조사). 실제 접근시간은 fee hours와 동일하게 적용",10:00,21:00,,,open,open,closed,always,
51.0,165,관악노상2-1,ACTIVE,1,1,SAME_AS_FEE_HOURS,09:00,19:00,00:00,00:00,parking.db lots.wdays_*/wend_*,"운영/요금시간 외 무료개방 아님, 입출차 불가(사용자 조사). 실제 접근시간은 fee hours와 동일하게 적용",,,,,open,closed,closed,always,
52.0,166,관악노상2-2,ACTIVE,1,1,SAME_AS_FEE_HOURS,09:00,19:00,00:00,00:00,parking.db lots.wdays_*/wend_*,"운영/요금시간 외 무료개방 아님, 입출차 불가(사용자 조사). 실제 접근시간은 fee hours와 동일하게 적용",,,,,open,closed,closed,always,
53.0,162,관악노상1-3,ACTIVE,1,1,SAME_AS_FEE_HOURS,09:00,19:00,00:00,00:00,parking.db lots.wdays_*/wend_*,"운영/요금시간 외 무료개방 아님, 입출차 불가(사용자 조사). 실제 접근시간은 fee hours와 동일하게 적용",,,,,open,closed,closed,always,
54.0,56,학원가노상,ACTIVE,1,1,SAME_AS_FEE_HOURS,10:00,20:00,00:00,00:00,parking.db lots.wdays_*/wend_*,"운영/요금시간 외 무료개방 아님, 입출차 불가(사용자 조사). 실제 접근시간은 fee hours와 동일하게 적용",10:00,20:00,,,open,open,closed,always,
55.0,261,먹거리촌노상2,ACTIVE,1,1,SAME_AS_FEE_HOURS,10:00,21:00,00:00,00:00,parking.db lots.wdays_*/wend_*,"운영/요금시간 외 무료개방 아님, 입출차 불가(사용자 조사). 실제 접근시간은 fee hours와 동일하게 적용",10:00,21:00,,,open,open,closed,always,
56.0,163,관악노상1-4,ACTIVE,1,1,SAME_AS_FEE_HOURS,09:00,19:00,00:00,00:00,parking.db lots.wdays_*/wend_*,"운영/요금시간 외 무료개방 아님, 입출차 불가(사용자 조사). 실제 접근시간은 fee hours와 동일하게 적용",,,,,open,closed,closed,always,
57.0,167,관악노상2-3,ACTIVE,1,1,SAME_AS_FEE_HOURS,09:00,19:00,00:00,00:00,parking.db lots.wdays_*/wend_*,"운영/요금시간 외 무료개방 아님, 입출차 불가(사용자 조사). 실제 접근시간은 fee hours와 동일하게 적용",,,,,open,closed,closed,always,
58.0,262,먹거리촌노상3,ACTIVE,1,1,SAME_AS_FEE_HOURS,10:00,21:00,00:00,00:00,parking.db lots.wdays_*/wend_*,"운영/요금시간 외 무료개방 아님, 입출차 불가(사용자 조사). 실제 접근시간은 fee hours와 동일하게 적용",10:00,21:00,,,open,open,closed,always,
59.0,168,관악노상2-4,ACTIVE,1,1,SAME_AS_FEE_HOURS,09:00,19:00,00:00,00:00,parking.db lots.wdays_*/wend_*,"운영/요금시간 외 무료개방 아님, 입출차 불가(사용자 조사). 실제 접근시간은 fee hours와 동일하게 적용",,,,,open,closed,closed,always,
60.0,164,관악노상1-5,ACTIVE,1,1,SAME_AS_FEE_HOURS,09:00,19:00,00:00,00:00,parking.db lots.wdays_*/wend_*,"운영/요금시간 외 무료개방 아님, 입출차 불가(사용자 조사). 실제 접근시간은 fee hours와 동일하게 적용",,,,,open,closed,closed,always,
61.0,169,관악노상2-5,ACTIVE,1,1,SAME_AS_FEE_HOURS,09:00,19:00,00:00,00:00,parking.db lots.wdays_*/wend_*,"운영/요금시간 외 무료개방 아님, 입출차 불가(사용자 조사). 실제 접근시간은 fee hours와 동일하게 적용",,,,,open,closed,closed,always,
62.0,23,덕천노상,ACTIVE,1,1,SAME_AS_FEE_HOURS,09:00,17:00,00:00,00:00,parking.db lots.wdays_*/wend_*,"운영/요금시간 외 무료개방 아님, 입출차 불가(사용자 조사). 실제 접근시간은 fee hours와 동일하게 적용",,,,,open,closed,closed,always,
63.0,170,관악노상2-6,ACTIVE,1,1,SAME_AS_FEE_HOURS,09:00,19:00,00:00,00:00,parking.db lots.wdays_*/wend_*,"운영/요금시간 외 무료개방 아님, 입출차 불가(사용자 조사). 실제 접근시간은 fee hours와 동일하게 적용",,,,,open,closed,closed,always,
64.0,172,인덕원동복개노상123,ACTIVE,1,1,SAME_AS_FEE_HOURS,09:00,18:00,00:00,00:00,parking.db lots.wdays_*/wend_*,"운영/요금시간 외 무료개방 아님, 입출차 불가(사용자 조사). 실제 접근시간은 fee hours와 동일하게 적용",,,,,open,closed,closed,always,
65.0,171,관악노상2-7,ACTIVE,1,1,SAME_AS_FEE_HOURS,09:00,19:00,00:00,00:00,parking.db lots.wdays_*/wend_*,"운영/요금시간 외 무료개방 아님, 입출차 불가(사용자 조사). 실제 접근시간은 fee hours와 동일하게 적용",,,,,open,closed,closed,always,
66.0,52,남부노상,ACTIVE,1,1,SAME_AS_FEE_HOURS,10:00,18:00,00:00,00:00,parking.db lots.wdays_*/wend_*,"운영/요금시간 외 무료개방 아님, 입출차 불가(사용자 조사). 실제 접근시간은 fee hours와 동일하게 적용",,,,,open,closed,closed,always,
67.0,53,안양역1노상,ACTIVE,1,1,SAME_AS_FEE_HOURS,10:00,22:00,10:00,22:00,parking.db lots.wdays_*/wend_*,"운영/요금시간 외 무료개방 아님, 입출차 불가(사용자 조사). 실제 접근시간은 fee hours와 동일하게 적용",10:00,22:00,10:00,22:00,open,open,open,always,
68.0,48,안양역2노상,ACTIVE,1,1,SAME_AS_FEE_HOURS,10:00,22:00,10:00,22:00,parking.db lots.wdays_*/wend_*,"운영/요금시간 외 무료개방 아님, 입출차 불가(사용자 조사). 실제 접근시간은 fee hours와 동일하게 적용",10:00,22:00,10:00,22:00,open,open,open,always,
,3,예술공원고가밑,FIXED,0,0,UNKNOWN,,,,,parking.db lots.wdays_*/wend_*,고정 feed 21곳: 예측 정확도 평가 제외. 검색/요금/위치 정보는 제공 가능,,,,,,,,unknown,조사 대상 아님(고정 feed)
,6,명학역노상,FIXED,0,0,UNKNOWN,,,,,parking.db lots.wdays_*/wend_*,고정 feed 21곳: 예측 정확도 평가 제외. 검색/요금/위치 정보는 제공 가능,,,,,,,,unknown,조사 대상 아님(고정 feed)
,15,석수대형화물,FIXED,0,0,UNKNOWN,,,,,parking.db lots.wdays_*/wend_*,고정 feed 21곳: 예측 정확도 평가 제외. 검색/요금/위치 정보는 제공 가능,,,,,,,,unknown,조사 대상 아님(고정 feed)
,19,냉천놀이터지하,FIXED,0,0,UNKNOWN,,,,,parking.db lots.wdays_*/wend_*,고정 feed 21곳: 예측 정확도 평가 제외. 검색/요금/위치 정보는 제공 가능,,,,,,,,unknown,조사 대상 아님(고정 feed)
,35,공업부지노외,FIXED,0,0,UNKNOWN,,,,,parking.db lots.wdays_*/wend_*,고정 feed 21곳: 예측 정확도 평가 제외. 검색/요금/위치 정보는 제공 가능,,,,,,,,unknown,조사 대상 아님(고정 feed)
,41,안양6동2노외,FIXED,0,0,UNKNOWN,,,,,parking.db lots.wdays_*/wend_*,고정 feed 21곳: 예측 정확도 평가 제외. 검색/요금/위치 정보는 제공 가능,,,,,,,,unknown,조사 대상 아님(고정 feed)
,45,평촌역노상,FIXED,0,0,UNKNOWN,,,,,parking.db lots.wdays_*/wend_*,고정 feed 21곳: 예측 정확도 평가 제외. 검색/요금/위치 정보는 제공 가능,,,,,,,,unknown,조사 대상 아님(고정 feed)
,46,범계역노상,FIXED,0,0,UNKNOWN,,,,,parking.db lots.wdays_*/wend_*,고정 feed 21곳: 예측 정확도 평가 제외. 검색/요금/위치 정보는 제공 가능,,,,,,,,unknown,조사 대상 아님(고정 feed)
,47,동안노상,FIXED,0,0,UNKNOWN,,,,,parking.db lots.wdays_*/wend_*,고정 feed 21곳: 예측 정확도 평가 제외. 검색/요금/위치 정보는 제공 가능,,,,,,,,unknown,조사 대상 아님(고정 feed)
,55,안양3동노상,FIXED,0,0,UNKNOWN,,,,,parking.db lots.wdays_*/wend_*,고정 feed 21곳: 예측 정확도 평가 제외. 검색/요금/위치 정보는 제공 가능,,,,,,,,unknown,조사 대상 아님(고정 feed)
,57,호계고가밑,FIXED,0,0,UNKNOWN,,,,,parking.db lots.wdays_*/wend_*,고정 feed 21곳: 예측 정확도 평가 제외. 검색/요금/위치 정보는 제공 가능,,,,,,,,unknown,조사 대상 아님(고정 feed)
,61,수리산1노상,FIXED,0,0,UNKNOWN,,,,,parking.db lots.wdays_*/wend_*,고정 feed 21곳: 예측 정확도 평가 제외. 검색/요금/위치 정보는 제공 가능,,,,,,,,unknown,조사 대상 아님(고정 feed)
,101,문예노상,FIXED,0,0,UNKNOWN,,,,,parking.db lots.wdays_*/wend_*,고정 feed 21곳: 예측 정확도 평가 제외. 검색/요금/위치 정보는 제공 가능,,,,,,,,unknown,조사 대상 아님(고정 feed)
,102,수리산2노상,FIXED,0,0,FREE_AFTER_FEE,00:00,24:00,00:00,24:00,parking.db lots.wdays_*/wend_*,고정 feed 21곳: 예측 정확도 평가 제외. 검색/요금/위치 정보는 제공 가능; 수리산2노상은 과거 사용자 조사상 운영시간 외 무료개방,,,,,,,,unknown,조사 대상 아님(고정 feed)
,103,인덕원1노상,FIXED,0,0,UNKNOWN,,,,,parking.db lots.wdays_*/wend_*,고정 feed 21곳: 예측 정확도 평가 제외. 검색/요금/위치 정보는 제공 가능,,,,,,,,unknown,조사 대상 아님(고정 feed)
,104,인덕원2노상,FIXED,0,0,UNKNOWN,,,,,parking.db lots.wdays_*/wend_*,고정 feed 21곳: 예측 정확도 평가 제외. 검색/요금/위치 정보는 제공 가능,,,,,,,,unknown,조사 대상 아님(고정 feed)
,105,관양시장노상,FIXED,0,0,UNKNOWN,,,,,parking.db lots.wdays_*/wend_*,고정 feed 21곳: 예측 정확도 평가 제외. 검색/요금/위치 정보는 제공 가능,,,,,,,,unknown,조사 대상 아님(고정 feed)
,107,삼막사노상,FIXED,0,0,UNKNOWN,,,,,parking.db lots.wdays_*/wend_*,고정 feed 21곳: 예측 정확도 평가 제외. 검색/요금/위치 정보는 제공 가능,,,,,,,,unknown,조사 대상 아님(고정 feed)
,109,관악3노상,FIXED,0,0,UNKNOWN,,,,,parking.db lots.wdays_*/wend_*,고정 feed 21곳: 예측 정확도 평가 제외. 검색/요금/위치 정보는 제공 가능,,,,,,,,unknown,조사 대상 아님(고정 feed)
,110,삼봉노상,FIXED,0,0,UNKNOWN,,,,,parking.db lots.wdays_*/wend_*,고정 feed 21곳: 예측 정확도 평가 제외. 검색/요금/위치 정보는 제공 가능,,,,,,,,unknown,조사 대상 아님(고정 feed)
,111,먹거리촌노외,FIXED,0,0,UNKNOWN,,,,,parking.db lots.wdays_*/wend_*,고정 feed 21곳: 예측 정확도 평가 제외. 검색/요금/위치 정보는 제공 가능,,,,,,,,unknown,조사 대상 아님(고정 feed)
